token,community,best_cluster_match_fraction
关于,605,0.75
关头,14,0.5
关心,366,0.5
关怀,366,0.0
关掉,235,0.5
关机,278,0.5
关注,606,1.0
关照,366,0.5
关爱,366,0.25
关税,607,0.75
关系,608,1.0
关联,608,1.0
关节,372,0.75
关键,267,1.0
关闭,235,1.0
兴奋,128,1.0
兴奋剂,97,1.0
兴建,276,0.5
兴旺,609,0.5
兴致,126,0.0
兴起,610,0.25
兴趣,611,0.25
兴高采烈,126,0.25
兵,612,1.0
其,371,0.0
其中,221,1.0
其他,613,0.75
其余,2,0.25
其后,122,1.0
其实,132,1.0
其次,53,1.0
其间,614,0.75
具体,615,0.5
具备,359,1.0
具有,359,1.0
典型,616,0.25
典礼,280,1.0
典范,328,0.5
兹,617,1.0
养,453,0.5
养成,305,0.25
养殖,480,1.0
养活,453,0.5
养生,497,0.75
养老,601,0.75
养老金,430,1.0
养老院,178,0.25
兼,256,1.0
兼任,75,1.0
兼容,618,0.75
兼职,619,0.25
兼顾,536,0.25
内,290,0.75
内向,620,1.0
内在,621,0.25
内地,226,1.0
内外,622,1.0
内存,555,0.75
内容,623,1.0
内幕,477,0.75
内心,375,0.25
内涵,264,0.25
内科,223,1.0
内行,624,1.0
内衣,100,1.0
内部,622,1.0
内阁,525,1.0
内需,510,0.75
册,564,0.0
再,115,1.0
再三,108,1.0
再也,119,1.0
再度,13,1.0
